finish_timestamp,start_timestamp,predicted_label,invalid,anomaly_score
360000.05,360000.0,normal,false,1.13599
360000.1,360000.05,anomaly,false,1.822232
360600.05,360600.0,normal,false,1.3543882
360600.1,360600.05,normal,false,1.253454
361200.05,361200.0,normal,false,1.4389125
361200.1,361200.05,normal,false,1.4773252
361800.05,361800.0,normal,false,1.1679752
361800.1,361800.05,normal,false,1.3663635
362400.05,362400.0,anomaly,false,2.2530828
362400.1,362400.05,normal,false,1.4195467
363000.05,363000.0,normal,false,1.3118582
363000.1,363000.05,normal,false,1.2213616
363600.05,363600.0,normal,false,1.1896818
363600.1,363600.05,normal,false,1.543059
364200.05,364200.0,normal,false,1.5009097
364200.1,364200.05,normal,false,1.4422317
364800.05,364800.0,normal,false,1.1586356
364800.1,364800.05,normal,false,1.5696852
365400.05,365400.0,normal,false,1.4872854
365400.1,365400.05,normal,false,1.2231493
366000.05,366000.0,normal,false,1.439391
366000.1,366000.05,normal,false,1.0937608
366600.05,366600.0,normal,false,1.5619664
366600.1,366600.05,normal,false,1.6739181
367200.05,367200.0,normal,false,1.3869377
367200.1,367200.05,normal,false,1.2486101
367800.05,367800.0,normal,false,1.5184013
367800.1,367800.05,normal,false,1.2138785
368400.05,368400.0,normal,false,1.146373
368400.1,368400.05,normal,false,1.3364342
369000.05,369000.0,normal,false,1.4646094
369000.1,369000.05,normal,false,1.4137256
369600.05,369600.0,normal,false,1.3269379
369600.1,369600.05,normal,false,1.5222319
370200.05,370200.0,normal,false,1.6651126
370200.1,370200.05,normal,false,1.6271844
370800.05,370800.0,normal,false,1.2944242
370800.1,370800.05,normal,false,1.4972413
371400.05,371400.0,normal,false,1.4786214
371400.1,371400.05,normal,false,1.2332463
372000.05,372000.0,normal,false,1.3442616
372000.1,372000.05,normal,false,1.328763
372600.05,372600.0,normal,false,1.2495075
372600.1,372600.05,normal,false,1.3715914
373200.05,373200.0,normal,false,1.2816118
373200.1,373200.05,normal,false,1.3162781
373800.05,373800.0,normal,false,1.397593
373800.1,373800.05,normal,false,1.0898952
374400.05,374400.0,anomaly,false,1.7718521
